Simulation Log
==============
Time: 0.00s | Bodies: 112 | Live Microbes: 112
Time: 0.04s | Bodies: 118 | Live Microbes: 118
Time: 0.06s | Bodies: 129 | Live Microbes: 129
Time: 0.08s | Bodies: 142 | Live Microbes: 142
Time: 0.10s | Bodies: 148 | Live Microbes: 148
Time: 0.11s | Bodies: 157 | Live Microbes: 157
Time: 0.13s | Bodies: 161 | Live Microbes: 161
Time: 0.15s | Bodies: 167 | Live Microbes: 167
Time: 0.17s | Bodies: 183 | Live Microbes: 183
Time: 0.18s | Bodies: 197 | Live Microbes: 197
Time: 0.20s | Bodies: 205 | Live Microbes: 205
Time: 0.22s | Bodies: 218 | Live Microbes: 218
Time: 0.23s | Bodies: 232 | Live Microbes: 232
Time: 0.25s | Bodies: 244 | Live Microbes: 244
Time: 0.27s | Bodies: 256 | Live Microbes: 256
Time: 0.28s | Bodies: 269 | Live Microbes: 269
Time: 0.30s | Bodies: 288 | Live Microbes: 288
Time: 0.32s | Bodies: 314 | Live Microbes: 314
Time: 0.34s | Bodies: 339 | Live Microbes: 339
Time: 0.35s | Bodies: 344 | Live Microbes: 344
Time: 0.39s | Bodies: 361 | Live Microbes: 361
Time: 0.40s | Bodies: 371 | Live Microbes: 371
Time: 0.42s | Bodies: 398 | Live Microbes: 398
Time: 0.44s | Bodies: 430 | Live Microbes: 430
Time: 0.45s | Bodies: 452 | Live Microbes: 452
Time: 0.47s | Bodies: 491 | Live Microbes: 491
Time: 0.49s | Bodies: 533 | Live Microbes: 533
Time: 0.51s | Bodies: 567 | Live Microbes: 567
Time: 0.52s | Bodies: 625 | Live Microbes: 625
Time: 0.54s | Bodies: 665 | Live Microbes: 665
Time: 0.56s | Bodies: 727 | Live Microbes: 727
Time: 0.58s | Bodies: 775 | Live Microbes: 775
Time: 0.60s | Bodies: 802 | Live Microbes: 802
Time: 0.61s | Bodies: 875 | Live Microbes: 875
Time: 0.63s | Bodies: 946 | Live Microbes: 946
Time: 0.65s | Bodies: 985 | Live Microbes: 985
Time: 0.67s | Bodies: 1042 | Live Microbes: 1042
Time: 0.69s | Bodies: 1087 | Live Microbes: 1087
Time: 0.70s | Bodies: 1185 | Live Microbes: 0
Time: 0.72s | Bodies: 1185 | Live Microbes: 0
Time: 0.74s | Bodies: 1185 | Live Microbes: 0
Time: 0.76s | Bodies: 1185 | Live Microbes: 0
Time: 0.77s | Bodies: 1185 | Live Microbes: 0
Time: 0.79s | Bodies: 1185 | Live Microbes: 0
Time: 0.81s | Bodies: 1185 | Live Microbes: 0
Time: 0.83s | Bodies: 1185 | Live Microbes: 0
Time: 0.84s | Bodies: 1185 | Live Microbes: 0
Time: 0.86s | Bodies: 1185 | Live Microbes: 0
Time: 0.88s | Bodies: 1185 | Live Microbes: 0
Time: 0.90s | Bodies: 1185 | Live Microbes: 0
Time: 0.92s | Bodies: 1185 | Live Microbes: 0
Time: 0.93s | Bodies: 1185 | Live Microbes: 0
